Point in Time[s],Response Time[s]
9.250147417,9.250147417
9.250147417,9.250147417
9.250147417,9.250147417
9.250147417,9.250147417
9.250147417,9.250147417
19.500294834,9.250147417
19.500294834,9.250147417
19.500294834,9.250147417
19.500294834,9.250147417
19.500294834,9.250147417
29.750442251,9.250147416999997
29.750442251,9.250147416999997
29.750442251,9.250147416999997
29.750442251,9.250147416999997
29.750442251,9.250147416999997
40.000589668,9.250147417000004
40.000589668,9.250147417000004
40.000589668,9.250147417000004
40.000589668,9.250147417000004
40.000589668,9.250147417000004
50.250737085,9.250147416999994
50.250737085,9.250147416999994
50.250737085,9.250147416999994
50.250737085,9.250147416999994
50.250737085,9.250147416999994
60.500884502,9.250147417
60.500884502,9.250147417
60.500884502,9.250147417
60.500884502,9.250147417
60.500884502,9.250147417
70.751031919,9.250147417
70.751031919,9.250147417
70.751031919,9.250147417
70.751031919,9.250147417
70.751031919,9.250147417
81.001179336,9.250147417000008
81.001179336,9.250147417000008
81.001179336,9.250147417000008
81.001179336,9.250147417000008
81.001179336,9.250147417000008
91.251326753,9.250147416999994
91.251326753,9.250147416999994
91.251326753,9.250147416999994
91.251326753,9.250147416999994
91.251326753,9.250147416999994
